setting_i,setting_j,mean_diff,p_adj,significant
20-4096,80-512,0.19600000000000017,1.0,False
20-4096,80-1024,0.16400000000000015,1.0,False
20-4096,80-2048,0.038000000000000256,1.0,False
20-4096,80-4096,0.02200000000000024,1.0,False
20-4096,80-8192,0.010000000000000231,1.0,False
20-4096,120-1024,0.16599999999999993,1.0,False
20-4096,120-2048,0.29200000000000026,0.011388009774389887,True
20-4096,120-4096,0.018000000000000238,1.0,False
20-4096,120-8192,0.10400000000000009,1.0,False
40-256,40-512,0.006000000000000227,1.0,False
40-256,40-1024,0.11399999999999988,1.0,False
40-256,40-2048,0.020000000000000018,1.0,False
40-256,40-4096,0.10000000000000009,1.0,False
40-256,80-256,0.242,0.1111970829373417,False
40-256,80-512,0.19600000000000017,0.8292465099829828,False
40-256,80-1024,0.16400000000000015,1.0,False
40-256,80-2048,0.038000000000000256,1.0,False
40-256,80-4096,0.02200000000000024,1.0,False
40-256,80-8192,0.010000000000000231,1.0,False
40-256,120-1024,0.16599999999999993,1.0,False
40-256,120-2048,0.29200000000000026,0.006749899491051149,True
40-256,120-4096,0.018000000000000238,1.0,False
40-256,120-8192,0.10400000000000009,1.0,False
40-512,40-1024,0.10799999999999965,1.0,False
40-512,40-2048,0.01399999999999979,1.0,False
40-512,40-4096,0.09399999999999986,1.0,False
40-512,80-256,0.23599999999999977,0.09275462582515853,False
40-512,80-512,0.18999999999999995,0.7182245729669648,False
40-512,80-1024,0.15799999999999992,1.0,False
40-512,80-2048,0.03200000000000003,1.0,False
40-512,80-4096,0.016000000000000014,1.0,False
40-512,80-8192,0.0040000000000000036,1.0,False
40-512,120-1024,0.1599999999999997,1.0,False
40-512,120-2048,0.28600000000000003,0.00509292413612258,True
40-512,120-4096,0.01200000000000001,1.0,False
40-512,120-8192,0.09799999999999986,1.0,False
40-1024,40-2048,-0.09399999999999986,1.0,False
40-1024,40-4096,-0.01399999999999979,1.0,False
40-1024,80-256,0.1280000000000001,1.0,False
40-1024,80-512,0.0820000000000003,1.0,False
40-1024,80-1024,0.050000000000000266,1.0,False
40-1024,80-2048,-0.07599999999999962,1.0,False
40-1024,80-4096,-0.09199999999999964,1.0,False
40-1024,80-8192,-0.10399999999999965,1.0,False
40-1024,120-1024,0.052000000000000046,1.0,False
40-1024,120-2048,0.17800000000000038,1.0,False
40-1024,120-4096,-0.09599999999999964,1.0,False
40-1024,120-8192,-0.009999999999999787,1.0,False
40-2048,40-4096,0.08000000000000007,1.0,False
40-2048,80-256,0.22199999999999998,1.0,False
40-2048,80-512,0.17600000000000016,1.0,False
40-2048,80-1024,0.14400000000000013,1.0,False
40-2048,80-2048,0.018000000000000238,1.0,False
40-2048,80-4096,0.002000000000000224,1.0,False
40-2048,80-8192,-0.009999999999999787,1.0,False
40-2048,120-1024,0.1459999999999999,1.0,False
40-2048,120-2048,0.27200000000000024,0.1302978273937854,False
40-2048,120-4096,-0.0019999999999997797,1.0,False
40-2048,120-8192,0.08400000000000007,1.0,False
40-4096,80-256,0.1419999999999999,1.0,False
40-4096,80-512,0.09600000000000009,1.0,False
40-4096,80-1024,0.06400000000000006,1.0,False
40-4096,80-2048,-0.06199999999999983,1.0,False
40-4096,80-4096,-0.07799999999999985,1.0,False
40-4096,80-8192,-0.08999999999999986,1.0,False
40-4096,120-1024,0.06599999999999984,1.0,False
40-4096,120-2048,0.19200000000000017,1.0,False
40-4096,120-4096,-0.08199999999999985,1.0,False
40-4096,120-8192,0.0040000000000000036,1.0,False
80-256,80-512,-0.04599999999999982,1.0,False
80-256,80-1024,-0.07799999999999985,1.0,False
80-256,80-2048,-0.20399999999999974,0.4325994313445024,False
80-256,80-4096,-0.21999999999999975,0.6062245844974724,False
